City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,Kruisfontein,-34.0033,24.7314,60.89,65,98,7.54,ZA,2022-02-09 02:28:58
238,Tatarsk,55.219,75.9828,-8.37,99,49,8.01,RU,2022-02-09 02:30:52
239,Alagoinhas,-12.1356,-38.4192,71.42,95,5,2.84,BR,2022-02-09 02:30:53
240,Sokoto,13.0609,5.239,67.57,11,2,11.88,NG,2022-02-09 02:30:53
241,Suntar,62.1444,117.6319,-14.24,92,100,3.13,RU,2022-02-09 02:30:54
242,Provideniya,64.3833,-173.3,-2.09,60,0,13.42,RU,2022-02-09 02:30:54
243,Puerto Ayora,-0.7393,-90.3518,72.79,85,34,4.41,EC,2022-02-09 02:30:54
244,Novikovo,51.1537,37.8879,24.82,92,100,5.82,RU,2022-02-09 02:30:55
245,Parana,-31.732,-60.5238,72.57,58,0,7.36,AR,2022-02-09 02:30:56
246,Panzhihua,26.5851,101.7128,57.15,44,16,0.51,CN,2022-02-09 02:30:56
247,Nador,35.174,-2.9287,57.45,77,100,10.36,MA,2022-02-09 02:30:56
248,Cimitarra,6.3142,-73.9497,73.63,96,96,2.53,CO,2022-02-09 02:30:57
249,Oistins,13.0667,-59.5333,75.29,73,20,12.66,BB,2022-02-09 02:30:57
250,Esperance,-33.8667,121.9,76.84,58,14,9.04,AU,2022-02-09 02:30:57
251,Koutiala,12.3917,-5.4642,72.07,14,16,8.28,ML,2022-02-09 02:30:58
252,Orlik,52.5178,99.825,-5.01,95,100,1.92,RU,2022-02-09 02:30:58
253,Okha,53.5739,142.9478,20.61,93,100,14.41,RU,2022-02-09 02:30:58
254,Hovd,48.0056,91.6419,-8.5,82,100,1.16,MN,2022-02-09 02:30:59
255,Bonthe,7.5264,-12.505,76.05,86,35,1.43,SL,2022-02-09 02:30:59
256,Barrow,71.2906,-156.7887,-29.18,100,0,8.05,US,2022-02-09 02:27:08
257,Guiuan,11.0333,125.7247,80.91,78,88,20.74,PH,2022-02-09 02:30:59
258,Alcudia,39.8532,3.1214,53.2,81,1,4.52,ES,2022-02-09 02:31:00
259,Srednekolymsk,67.45,153.6833,-33.29,95,63,4.59,RU,2022-02-09 02:31:00
260,Umm Lajj,25.0213,37.2685,73.0,42,66,4.43,SA,2022-02-09 02:31:00
261,Iwanai,42.9744,140.5089,29.17,74,100,10.76,JP,2022-02-09 02:31:01
262,Kailua,21.4022,-157.7394,80.58,70,75,9.22,US,2022-02-09 02:27:44
263,Bulawayo,-20.15,28.5833,55.85,72,2,3.36,ZW,2022-02-09 02:31:01
264,Mount Isa,-20.7333,139.5,91.17,35,3,10.36,AU,2022-02-09 02:31:01
265,Goundam,16.4145,-3.6708,65.98,10,0,9.69,ML,2022-02-09 02:31:02
266,Mount Pleasant,32.7941,-79.8626,44.98,95,0,1.01,US,2022-02-09 02:31:02
267,Dijkot,31.2167,72.9833,53.28,78,42,5.06,PK,2022-02-09 02:31:03
268,Gold Coast,-28.0,153.4333,87.78,68,40,10.36,AU,2022-02-09 02:30:18
269,Kirkwall,58.9848,-2.9587,41.05,70,75,27.63,GB,2022-02-09 02:31:04
270,Bethel,41.3712,-73.414,33.89,73,0,9.22,US,2022-02-09 02:31:04
271,Cumpas,29.9833,-109.7833,57.42,21,0,6.35,MX,2022-02-09 02:32:04
272,Belen,36.4891,36.2233,39.34,100,75,5.75,TR,2022-02-09 02:32:05
273,Port Lincoln,-34.7333,135.8667,70.7,57,98,11.54,AU,2022-02-09 02:30:31
274,Huntsville,34.7304,-86.5861,44.96,67,0,10.0,US,2022-02-09 02:30:57
275,Ponta Do Sol,32.6667,-17.1,66.83,55,61,10.65,PT,2022-02-09 02:32:06
276,Hemsedal,60.8629,8.5534,34.16,92,87,12.53,NO,2022-02-09 02:32:06
277,Georgetown,5.4112,100.3354,84.13,87,20,3.44,MY,2022-02-09 02:29:12
278,Alyangula,-13.8483,136.4192,89.47,66,75,5.75,AU,2022-02-09 02:32:06
279,Slave Lake,55.2834,-114.769,39.18,60,0,11.5,CA,2022-02-09 02:32:07
280,Ancud,-41.8697,-73.8203,53.42,78,8,4.56,CL,2022-02-09 02:31:51
281,Cabatuan,10.8794,122.486,83.53,62,48,16.91,PH,2022-02-09 02:32:07
282,Lexington,37.9887,-84.4777,42.12,58,0,9.22,US,2022-02-09 02:27:34
283,Raudeberg,61.9875,5.1352,39.87,93,100,11.01,NO,2022-02-09 02:32:08
284,Timmins,48.4669,-81.3331,15.62,92,75,8.05,CA,2022-02-09 02:28:31
285,Airai,-8.9266,125.4092,70.05,81,100,2.33,TL,2022-02-09 02:32:08
